country,card_url,general,country_link,city,PM2.5,date,hour
India,https://openaq.org/#/location/Asansol%20Court%20Area%2C%20Asansol%20-%20WBPCB,"Asansol Court Area, Asansol - WBPCB",India,"Asansol,",,,
India,https://openaq.org/#/location/More%20Chowk%20Waluj%2C%20Aurangabad%20-%20MPCB,"More Chowk Waluj, Aurangabad - MPCB",India,"Aurangabad,",,,
India,https://openaq.org/#/location/Vidayagiri%2C%20Bagalkot%20-%20KSPCB,"Vidayagiri, Bagalkot - KSPCB",India,"Bagalkot,",,,
India,https://openaq.org/#/location/New%20Collectorate%2C%20Baghpat%20-%20UPPCB,"New Collectorate, Baghpat - UPPCB",India,"Baghpat,",,,
India,https://openaq.org/#/location/Arya%20Nagar%2C%20Bahadurgarh%20-%20HSPCB,"Arya Nagar, Bahadurgarh - HSPCB",",",Bahadurgarh,,,
India,https://openaq.org/#/location/Nathu%20Colony%2C%20Ballabgarh%20-%20HSPCB,"Nathu Colony, Ballabgarh - HSPCB",India,"Ballabgarh,",,,
Indonesia,https://openaq.org/#/location/SPARTAN%20-%20ITB%20Bandung,,,,,,
Indonesia,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Jakarta%20Central,US Diplomatic Post: Jakarta Central,Indonesia,"Jakarta,",55.0,2020/09/08,05:30
Indonesia,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Jakarta%20South,US Diplomatic Post: Jakarta South,Indonesia,"Jakarta,",-999.0,2020/09/08,11:30
Iraq,https://openaq.org/#/location/US%20Diplomatic%20Post%3A%20Baghdad,US Diplomatic Post: Baghdad,Iraq,"Baghdad,",-999.0,2020/09/07,20:30
Ireland,https://openaq.org/#/location/IE0110A,IE0110A,"City,",Cork,0.587475,2020/09/08,12:30
Ireland,https://openaq.org/#/location/IE0028A,,,,-0.3326956,2020/09/08,12:30
Ireland,https://openaq.org/#/location/IE003AP,,,,1.12775,2020/09/08,12:30
Ireland,https://openaq.org/#/location/IE0137A,IE0137A,Ireland,"Limerick,",,,
Ireland,https://openaq.org/#/location/IE0142A,IE0142A,Ireland,"Longford,",,,
